Epoch,Raw_Loss,Smoothed_Loss
0.0,2.544628143310547,2.5446281433105464
1.0344827586206897,2.528050184249878,2.5437992453575133
2.0689655172413794,2.51189923286438,2.542162799835205
3.1034482758620694,2.4961447715759277,2.539738631248474
4.137931034482759,2.4807586669921875,2.5365451574325566
5.172413793103448,2.46571683883667,2.5325995922088627
6.206896551724139,2.450995922088623,2.5279179811477666
7.241379310344828,2.4365758895874023,2.5225153684616095
8.275862068965518,2.4224393367767334,2.5164059281349185
9.310344827586208,2.408569097518921,2.509602975845337
10.344827586206897,2.3949496746063232,2.5021190524101256
11.379310344827587,2.3815693855285645,2.493966114521027
12.413793103448278,2.3684144020080566,2.4851554274559025
13.448275862068966,2.355473279953003,2.475697684288025
14.482758620689657,2.3427369594573975,2.465603125095368
15.517241379310345,2.3301944732666016,2.4548814415931703
16.551724137931036,2.317837953567505,2.4435419321060183
17.586206896551726,2.3056600093841553,2.4315935254096983
18.620689655172416,2.293652057647705,2.4190447211265558
19.655172413793103,2.2818081378936768,2.4059037208557124
20.689655172413794,2.2701218128204346,2.392178404331207
21.724137931034484,2.258586883544922,2.3787052392959596
22.758620689655174,2.2471985816955566,2.3654702067375184
23.793103448275865,2.2359519004821777,2.352460563182831
24.827586206896555,2.224841594696045,2.3396647095680234
25.862068965517242,2.2138636112213135,2.3270720481872558
26.896551724137932,2.2030138969421387,2.3146729469299316
27.931034482758623,2.192288398742676,2.302458572387695
28.965517241379313,2.1816840171813965,2.2904208064079286
30.0,2.1711971759796143,2.2785522103309637
