Overall Accuracy: 82.4799%

Classification Report:
              precision    recall  f1-score   support

           0     0.8941    0.9561    0.9241       980
           1     0.8304    0.9401    0.8818      1135
           2     0.8584    0.7694    0.8114      1032
           3     0.7671    0.8416    0.8026      1010
           4     0.8137    0.8360    0.8247       982
           5     0.8502    0.6233    0.7193       892
           6     0.8424    0.8925    0.8667       958
           7     0.8630    0.8395    0.8511      1028
           8     0.8033    0.7546    0.7782       974
           9     0.7704    0.7948    0.7824      1009

    accuracy                         0.8280     10000
   macro avg     0.8293    0.8248    0.8242     10000
weighted avg     0.8291    0.8280    0.8259     10000
