Overall Accuracy: 92.2045%

Classification Report:
              precision    recall  f1-score   support

           0     0.9496    0.9796    0.9643       980
           1     0.9669    0.9771    0.9720      1135
           2     0.9340    0.8915    0.9122      1032
           3     0.9062    0.9089    0.9076      1010
           4     0.9313    0.9246    0.9280       982
           5     0.9160    0.8554    0.8846       892
           6     0.9316    0.9530    0.9422       958
           7     0.9327    0.9173    0.9250      1028
           8     0.8703    0.8953    0.8826       974
           9     0.8878    0.9177    0.9025      1009

    accuracy                         0.9232     10000
   macro avg     0.9226    0.9220    0.9221     10000
weighted avg     0.9234    0.9232    0.9230     10000
