Overall Accuracy: 92.2978%

Classification Report:
              precision    recall  f1-score   support

           0     0.9460    0.9837    0.9645       980
           1     0.9644    0.9789    0.9716      1135
           2     0.9247    0.9157    0.9202      1032
           3     0.9228    0.8990    0.9107      1010
           4     0.9455    0.9185    0.9318       982
           5     0.8846    0.8767    0.8806       892
           6     0.9382    0.9509    0.9445       958
           7     0.9027    0.9387    0.9204      1028
           8     0.8874    0.8737    0.8805       974
           9     0.9148    0.8940    0.9043      1009

    accuracy                         0.9241     10000
   macro avg     0.9231    0.9230    0.9229     10000
weighted avg     0.9240    0.9241    0.9239     10000
