Overall Accuracy: 91.3854%

Classification Report:
              precision    recall  f1-score   support

           0     0.9427    0.9735    0.9578       980
           1     0.9575    0.9736    0.9655      1135
           2     0.9235    0.8769    0.8996      1032
           3     0.8987    0.9050    0.9018      1010
           4     0.9079    0.9338    0.9207       982
           5     0.8911    0.8621    0.8764       892
           6     0.9274    0.9468    0.9370       958
           7     0.9212    0.9095    0.9153      1028
           8     0.8797    0.8634    0.8715       974
           9     0.8887    0.8940    0.8913      1009

    accuracy                         0.9149     10000
   macro avg     0.9138    0.9139    0.9137     10000
weighted avg     0.9147    0.9149    0.9146     10000
