Overall Accuracy: 91.6726%

Classification Report:
              precision    recall  f1-score   support

           0     0.9485    0.9765    0.9623       980
           1     0.9600    0.9736    0.9668      1135
           2     0.9335    0.8847    0.9085      1032
           3     0.8966    0.9099    0.9032      1010
           4     0.9164    0.9267    0.9215       982
           5     0.8958    0.8576    0.8763       892
           6     0.9307    0.9530    0.9417       958
           7     0.9215    0.9134    0.9174      1028
           8     0.8770    0.8789    0.8779       974
           9     0.8886    0.8930    0.8908      1009

    accuracy                         0.9178     10000
   macro avg     0.9169    0.9167    0.9166     10000
weighted avg     0.9177    0.9178    0.9176     10000
