Overall Accuracy: 92.0563%

Classification Report:
              precision    recall  f1-score   support

           0     0.9506    0.9827    0.9664       980
           1     0.9661    0.9789    0.9724      1135
           2     0.9284    0.8924    0.9101      1032
           3     0.9007    0.9069    0.9038      1010
           4     0.9242    0.9318    0.9280       982
           5     0.9014    0.8610    0.8807       892
           6     0.9316    0.9520    0.9417       958
           7     0.9222    0.9222    0.9222      1028
           8     0.8782    0.8809    0.8795       974
           9     0.9032    0.8969    0.9000      1009

    accuracy                         0.9217     10000
   macro avg     0.9207    0.9206    0.9205     10000
weighted avg     0.9215    0.9217    0.9215     10000
