Overall Accuracy: 31.1803%

Classification Report:
              precision    recall  f1-score   support

           0     0.4880    0.6000    0.5382       980
           1     0.6802    0.5004    0.5766      1135
           2     0.2886    0.3711    0.3247      1032
           3     0.2731    0.2545    0.2635      1010
           4     0.2343    0.2576    0.2454       982
           5     0.1824    0.0628    0.0934       892
           6     0.2208    0.3163    0.2601       958
           7     0.3439    0.2218    0.2697      1028
           8     0.2417    0.3234    0.2767       974
           9     0.2192    0.2101    0.2146      1009

    accuracy                         0.3163     10000
   macro avg     0.3172    0.3118    0.3063     10000
weighted avg     0.3238    0.3163    0.3120     10000
