Overall Accuracy: 89.6748%

Classification Report:
              precision    recall  f1-score   support

           0     0.9342    0.9714    0.9525       980
           1     0.9367    0.9648    0.9505      1135
           2     0.9177    0.8537    0.8845      1032
           3     0.8842    0.8842    0.8842      1010
           4     0.8783    0.9114    0.8946       982
           5     0.8795    0.8184    0.8479       892
           6     0.9123    0.9342    0.9232       958
           7     0.9115    0.8920    0.9017      1028
           8     0.8505    0.8583    0.8544       974
           9     0.8671    0.8791    0.8730      1009

    accuracy                         0.8981     10000
   macro avg     0.8972    0.8967    0.8966     10000
weighted avg     0.8980    0.8981    0.8977     10000
