Overall Accuracy: 88.0118%

Classification Report:
              precision    recall  f1-score   support

           0     0.9186    0.9673    0.9423       980
           1     0.9058    0.9577    0.9310      1135
           2     0.9027    0.8362    0.8682      1032
           3     0.8695    0.8772    0.8733      1010
           4     0.8678    0.8890    0.8783       982
           5     0.8593    0.7803    0.8179       892
           6     0.9013    0.9248    0.9129       958
           7     0.9007    0.8735    0.8869      1028
           8     0.8427    0.8357    0.8392       974
           9     0.8409    0.8593    0.8500      1009

    accuracy                         0.8818     10000
   macro avg     0.8809    0.8801    0.8800     10000
weighted avg     0.8815    0.8818    0.8812     10000
