Overall Accuracy: 92.3786%

Classification Report:
              precision    recall  f1-score   support

           0     0.9498    0.9837    0.9664       980
           1     0.9644    0.9780    0.9711      1135
           2     0.9213    0.9070    0.9141      1032
           3     0.8958    0.9188    0.9071      1010
           4     0.9316    0.9297    0.9307       982
           5     0.9088    0.8599    0.8836       892
           6     0.9459    0.9499    0.9479       958
           7     0.9303    0.9212    0.9257      1028
           8     0.8864    0.8809    0.8836       974
           9     0.9079    0.9088    0.9084      1009

    accuracy                         0.9250     10000
   macro avg     0.9242    0.9238    0.9239     10000
weighted avg     0.9248    0.9250    0.9248     10000
