Overall Accuracy: 24.7400%

Classification Report:
              precision    recall  f1-score   support

           0     0.3620    0.5194    0.4267       980
           1     0.6023    0.8220    0.6952      1135
           2     0.4108    0.2587    0.3175      1032
           3     0.1402    0.1099    0.1232      1010
           4     0.2036    0.1283    0.1574       982
           5     0.1053    0.0247    0.0400       892
           6     0.1507    0.1117    0.1283       958
           7     0.1148    0.2198    0.1508      1028
           8     0.0558    0.0277    0.0370       974
           9     0.1576    0.2517    0.1938      1009

    accuracy                         0.2582     10000
   macro avg     0.2303    0.2474    0.2270     10000
weighted avg     0.2373    0.2582    0.2359     10000
