Overall Accuracy: 92.3376%

Classification Report:
              precision    recall  f1-score   support

           0     0.9561    0.9776    0.9667       980
           1     0.9635    0.9771    0.9703      1135
           2     0.9381    0.8963    0.9167      1032
           3     0.9095    0.9050    0.9072      1010
           4     0.9370    0.9236    0.9303       982
           5     0.8945    0.8744    0.8844       892
           6     0.9361    0.9489    0.9425       958
           7     0.9341    0.9232    0.9286      1028
           8     0.8772    0.8871    0.8821       974
           9     0.8898    0.9207    0.9050      1009

    accuracy                         0.9244     10000
   macro avg     0.9236    0.9234    0.9234     10000
weighted avg     0.9245    0.9244    0.9243     10000
