Overall Accuracy: 90.3139%

Classification Report:
              precision    recall  f1-score   support

           0     0.9327    0.9765    0.9541       980
           1     0.9433    0.9665    0.9547      1135
           2     0.9168    0.8643    0.8898      1032
           3     0.8931    0.8931    0.8931      1010
           4     0.8864    0.9216    0.9036       982
           5     0.8877    0.8419    0.8642       892
           6     0.9200    0.9363    0.9281       958
           7     0.9126    0.9037    0.9081      1028
           8     0.8561    0.8552    0.8557       974
           9     0.8844    0.8722    0.8782      1009

    accuracy                         0.9043     10000
   macro avg     0.9033    0.9031    0.9030     10000
weighted avg     0.9041    0.9043    0.9039     10000
